"Sr.No","Device No","Device Type","String Id","Date Time","Set value of current(Amps)","Current R","Current Y","Current B","Voltage R","Voltage Y","Voltage B","PF R","PF Y","PF B","KW R","KW Y","KW B","KWH","KVA R","KVA Y","KVA B","KVAH","Current Usage(Hrs)","Emergency Status","Mode","Door Status","Voltage Status","Load Status","MCB Status","Lamp Status","Lamp On Time","Lamp Off Time","I/P","Battery Mode On Time","Battery Mode Off Time"
"#{rowIndex+1}","DIM 00012","Single Phase","005","2017-03-27 13:29:47.0","","0.0","","","220.1","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","004","2017-03-27 13:29:40.0","","0.0","","","219.16","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","003","2017-03-27 13:29:32.0","","0.0","","","218.46","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","002","2017-03-27 13:29:25.0","","0.0","","","220.51","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","001","2017-03-27 13:29:18.0","","0.0","","","219.92","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","130","2017-03-27 13:27:33.0","","0.0","","","226.35","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","129","2017-03-27 13:27:26.0","","0.0","","","225.12","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","128","2017-03-27 13:27:19.0","","0.0","","","224.1","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","127","2017-03-27 13:27:11.0","","0.0","","","223.17","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","126","2017-03-27 13:27:04.0","","0.0","","","225.36","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","125","2017-03-27 13:26:57.0","","0.0","","","224.31","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","124","2017-03-27 13:26:50.0","","0.0","","","227.11","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","123","2017-03-27 13:26:43.0","","0.0","","","223.43","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","122","2017-03-27 13:26:36.0","","0.0","","","224.16","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","121","2017-03-27 13:26:28.0","","0.0","","","225.94","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","120","2017-03-27 13:26:21.0","","0.0","","","225.12","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","119","2017-03-27 13:26:14.0","","0.0","","","223.69","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","118","2017-03-27 13:26:07.0","","0.0","","","226.21","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","117","2017-03-27 13:26:00.0","","0.0","","","226.64","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","116","2017-03-27 13:25:53.0","","0.0","","","226.18","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","115","2017-03-27 13:25:45.0","","0.0","","","225.91","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","114","2017-03-27 13:25:38.0","","0.0","","","227.49","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","113","2017-03-27 13:25:31.0","","0.0","","","225.91","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","112","2017-03-27 13:25:24.0","","0.0","","","226.09","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","111","2017-03-27 13:25:17.0","","0.0","","","225.77","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","110","2017-03-27 13:25:10.0","","0.0","","","228.37","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","109","2017-03-27 13:24:58.0","","0.0","","","228.46","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","108","2017-03-27 13:24:51.0","","0.0","","","230.91","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","107","2017-03-27 13:24:44.0","","0.0","","","228.92","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","106","2017-03-27 13:24:37.0","","0.0","","","229.01","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","105","2017-03-27 13:24:30.0","","0.0","","","228.52","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","104","2017-03-27 13:24:23.0","","0.0","","","228.75","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","103","2017-03-27 13:24:15.0","","0.0","","","228.11","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","102","2017-03-27 13:24:08.0","","0.0","","","229.66","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","101","2017-03-27 13:24:01.0","","0.0","","","228.46","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","100","2017-03-27 13:23:54.0","","0.0","","","227.87","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","099","2017-03-27 13:23:47.0","","0.0","","","227.52","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","098","2017-03-27 13:23:40.0","","0.0","","","228.9","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","097","2017-03-27 13:23:32.0","","0.0","","","228.19","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","096","2017-03-27 13:23:25.0","","0.0","","","228.69","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","095","2017-03-27 13:23:17.0","","0.0","","","228.46","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","094","2017-03-27 13:23:10.0","","0.0","","","226.67","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","093","2017-03-27 13:23:03.0","","0.0","","","227.46","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","092","2017-03-27 13:22:56.0","","0.0","","","226.85","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","091","2017-03-27 13:22:48.0","","0.0","","","223.78","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","090","2017-03-27 13:22:41.0","","0.0","","","226.73","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","089","2017-03-27 13:22:34.0","","0.0","","","226.97","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","088","2017-03-27 13:22:27.0","","0.0","","","226.67","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","087","2017-03-27 13:22:20.0","","0.0","","","227.96","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","086","2017-03-27 13:22:13.0","","0.0","","","227.61","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","085","2017-03-27 13:22:05.0","","0.0","","","227.32","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","084","2017-03-27 13:21:58.0","","0.0","","","226.41","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","083","2017-03-27 13:21:51.0","","0.0","","","226.18","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","082","2017-03-27 13:21:44.0","","0.0","","","227.23","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","081","2017-03-27 13:21:37.0","","0.0","","","226.41","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","080","2017-03-27 13:21:29.0","","0.0","","","227.32","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","079","2017-03-27 13:21:22.0","","0.0","","","226.76","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","078","2017-03-27 13:21:14.0","","0.0","","","229.33","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","077","2017-03-27 13:21:07.0","","0.0","","","229.01","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","076","2017-03-27 13:21:00.0","","0.0","","","229.28","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","075","2017-03-27 13:20:53.0","","0.0","","","228.6","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","074","2017-03-27 13:20:46.0","","0.0","","","229.86","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","073","2017-03-27 13:20:39.0","","0.0","","","229.33","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","072","2017-03-27 13:20:31.0","","0.0","","","229.36","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","071","2017-03-27 13:20:24.0","","0.0","","","228.31","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","070","2017-03-27 13:20:17.0","","0.0","","","228.05","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","069","2017-03-27 13:20:10.0","","0.0","","","230.06","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","068","2017-03-27 13:20:03.0","","0.0","","","229.6","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","067","2017-03-27 13:19:56.0","","0.0","","","230.33","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","066","2017-03-27 13:19:48.0","","0.0","","","230.04","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","065","2017-03-27 13:19:41.0","","0.0","","","229.45","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","064","2017-03-27 13:19:34.0","","0.0","","","231.5","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","063","2017-03-27 13:19:27.0","","0.0","","","230.68","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","062","2017-03-27 13:19:20.0","","0.0","","","230.77","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","061","2017-03-27 13:19:13.0","","0.0","","","230.74","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","060","2017-03-27 13:19:05.0","","0.0","","","231.35","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","059","2017-03-27 13:18:58.0","","0.0","","","231.58","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","058","2017-03-27 13:18:51.0","","0.0","","","231.94","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","057","2017-03-27 13:18:44.0","","0.0","","","229.13","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","056","2017-03-27 13:18:37.0","","0.0","","","229.22","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","055","2017-03-27 13:18:30.0","","0.0","","","230.65","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","054","2017-03-27 13:18:22.0","","0.0","","","232.32","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","053","2017-03-27 13:18:15.0","","0.0","","","231.56","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","052","2017-03-27 13:18:08.0","","0.0","","","231.41","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","051","2017-03-27 13:18:01.0","","0.0","","","229.68","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","050","2017-03-27 13:17:54.0","","0.0","","","229.01","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","DOOR OPEN","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","049","2017-03-27 13:17:47.0","","0.0","","","229.07","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","048","2017-03-27 13:17:39.0","","0.0","","","229.48","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","047","2017-03-27 13:17:32.0","","0.0","","","229.92","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","046","2017-03-27 13:17:25.0","","0.0","","","231.09","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","045","2017-03-27 13:17:18.0","","0.0","","","229.25","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","DOOR OPEN","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","044","2017-03-27 13:17:11.0","","0.0","","","228.52","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","043","2017-03-27 13:17:03.0","","0.0","","","226.7","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","042","2017-03-27 13:16:56.0","","0.0","","","227.14","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","041","2017-03-27 13:16:49.0","","0.0","","","228.31","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","040","2017-03-27 13:16:42.0","","0.0","","","228.28","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","039","2017-03-27 13:16:35.0","","0.0","","","225.8","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","038","2017-03-07 13:16:28.0","","0.0","","","230.85","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","037","2017-03-27 13:16:20.0","","0.0","","","229.63","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","036","2017-03-27 13:16:13.0","","0.0","","","228.37","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","035","2017-03-27 13:16:06.0","","0.0","","","228.43","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","034","2017-03-27 13:15:59.0","","0.0","","","228.05","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","033","2017-03-27 13:15:52.0","","0.0","","","229.48","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","032","2017-03-27 13:15:45.0","","0.0","","","226.97","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","031","2017-03-27 13:15:37.0","","0.0","","","229.22","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","030","2017-03-27 13:15:30.0","","0.0","","","229.04","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","029","2017-03-27 13:15:23.0","","0.0","","","229.28","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","028","2017-03-27 13:15:16.0","","0.0","","","229.19","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","027","2017-03-27 13:15:09.0","","0.0","","","229.92","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","026","2017-03-27 13:15:02.0","","0.0","","","229.51","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","025","2017-03-27 13:14:54.0","","0.0","","","229.22","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","024","2017-03-27 13:14:47.0","","0.0","","","233.22","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","023","2017-03-27 13:14:40.0","","0.0","","","231.85","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","022","2017-03-27 13:14:33.0","","0.0","","","232.55","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","021","2017-03-27 13:14:26.0","","0.0","","","231.32","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","020","2017-03-27 13:14:19.0","","0.0","","","232.75","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","019","2017-03-27 13:14:11.0","","0.0","","","231.2","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","018","2017-03-27 13:14:04.0","","0.0","","","232.67","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","017","2017-03-27 13:13:57.0","","0.0","","","229.86","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","016","2017-03-27 13:13:50.0","","0.0","","","228.02","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","015","2017-03-27 13:13:43.0","","0.0","","","226.97","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","014","2017-03-27 13:13:36.0","","0.0","","","228.4","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","013","2017-03-27 13:13:28.0","","0.0","","","227.58","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","012","2017-03-27 13:13:21.0","","0.0","","","228.84","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","011","2017-03-27 13:13:14.0","","0.0","","","228.78","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","010","2017-03-27 13:13:07.0","","0.0","","","231.73","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","009","2017-03-27 13:13:00.0","","0.0","","","230.06","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","008","2017-03-27 13:12:53.0","","0.0","","","231.53","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","007","2017-03-27 13:12:45.0","","0.0","","","231.79","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","006","2017-03-27 13:12:38.0","","0.0","","","233.28","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","005","2017-03-27 13:12:31.0","","0.0","","","233.05","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","004","2017-03-27 13:12:24.0","","0.0","","","230.91","","","1.0","","","0.0","","","4.8","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
